Country or area,ISO Code,"Country
Letter Code",Region Code,Region,Major area Code,Major area,"Developed
region",Less Developed Regions,"Least developed
country","Less developed regions, excluding least developed countries","Total population of less than 90,000 by mid-2015",FP2020 country,Sexual activity among unmarried,Female sterilization,"Sub Saharan
Africa"
Mali,466,MLI,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.1,Yes
Malta,470,MLT,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
Marshall Islands,584,MHL,954,Micronesia,909,Oceania,No,Yes,No,Yes,Yes,No,1,25.5,No
Martinique,474,MTQ,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,0,No
Mauritania,478,MRT,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,0,0.2,Yes
Mauritius,480,MUS,910,Eastern Africa,903,Africa,No,Yes,No,Yes,No,No,1,12.1,Yes
Mayotte,175,MYT,910,Eastern Africa,903,Africa,No,Yes,No,Yes,No,No,0,0,Yes
Mexico,484,MEX,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,36.3,No
Micronesia (Federated States of),583,FSM,954,Micronesia,909,Oceania,No,Yes,No,Yes,No,No,1,0,No
Monaco,492,MCO,926,Western Europe,908,Europe,Yes,No,No,No,Yes,No,1,0,No
Mongolia,496,MNG,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,1,2.9,No
Montenegro,499,MNE,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,0.1,No
Montserrat,500,MSR,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,0,No
Morocco,504,MAR,912,Northern Africa,903,Africa,No,Yes,No,Yes,No,No,0,3,No
Mozambique,508,MOZ,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.3,Yes
Myanmar,104,MMR,920,South-Eastern Asia,935,Asia,No,Yes,Yes,No,No,Yes,0,3.8,No
Namibia,516,NAM,913,Southern Africa,903,Africa,No,Yes,No,Yes,No,No,1,6.6,Yes
Nauru,520,NRU,954,Micronesia,909,Oceania,No,Yes,No,Yes,Yes,No,1,15.9,No
Nepal,524,NPL,921,South-Central Asia,935,Asia,No,Yes,Yes,No,No,Yes,0,18.3,No
Netherlands,528,NLD,926,Western Europe,908,Europe,Yes,No,No,No,No,No,1,2.9,No
New Caledonia,540,NCL,928,Melanesia,909,Oceania,No,Yes,No,Yes,No,No,1,0,No
New Zealand,554,NZL,927,Australia/New Zealand,909,Oceania,Yes,No,No,No,No,No,1,0,No
Nicaragua,558,NIC,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,1,29.3,No
Niger,562,NER,914,Western Africa,903,Africa,No,Yes,Yes,No,No,Yes,0,0.1,Yes
Nigeria,566,NGA,914,Western Africa,903,Africa,No,Yes,No,Yes,No,Yes,1,0.4,Yes
Niue,570,NIU,957,Polynesia,909,Oceania,No,Yes,No,Yes,Yes,No,1,0,No
Northern Mariana Islands,580,MNP,954,Micronesia,909,Oceania,No,Yes,No,Yes,Yes,No,1,0,No
Norway,578,NOR,924,Northern Europe,908,Europe,Yes,No,No,No,No,No,1,6.7,No
Oman,512,OMN,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,0,5.6,No
Other non-specified areas,158,TWN,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,No,1,0,No
Pakistan,586,PAK,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,Yes,0,9.8,No
Palau,585,PLW,954,Micronesia,909,Oceania,No,Yes,No,Yes,Yes,No,1,1.5,No
Panama,591,PAN,916,Central America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,24.1,No
Papua New Guinea,598,PNG,928,Melanesia,909,Oceania,No,Yes,No,Yes,No,Yes,1,10.2,No
Paraguay,600,PRY,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,9.6,No
Peru,604,PER,931,South America,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,9,No
Philippines,608,PHL,920,South-Eastern Asia,935,Asia,No,Yes,No,Yes,No,Yes,1,8.8,No
Poland,616,POL,923,Eastern Europe,908,Europe,Yes,No,No,No,No,No,1,0,No
Portugal,620,PRT,925,Southern Europe,908,Europe,Yes,No,No,No,No,No,1,4.3,No
Puerto Rico,630,PRI,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,36.6,No
Qatar,634,QAT,922,Western Asia,935,Asia,No,Yes,No,Yes,No,No,0,0.9,No
Republic of Korea,410,KOR,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,No,1,5.8,No
Republic of Moldova,498,MDA,923,Eastern Europe,908,Europe,Yes,No,No,No,No,No,1,4.7,No
Réunion,638,REU,910,Eastern Africa,903,Africa,No,Yes,No,Yes,No,No,1,0,Yes
Romania,642,ROU,923,Eastern Europe,908,Europe,Yes,No,No,No,No,No,1,4.2,No
Russian Federation,643,RUS,923,Eastern Europe,908,Europe,Yes,No,No,No,No,No,1,1,No
Rwanda,646,RWA,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,Yes,1,0.9,Yes
Saint Helena,654,SHN,914,Western Africa,903,Africa,No,Yes,No,Yes,Yes,No,1,0,Yes
Saint Kitts and Nevis,659,KNA,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,0,No
Saint Lucia,662,LCA,915,Caribbean,904,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,7.3,No
Saint Pierre and Miquelon,666,SPM,905,Northern America,905,Northern America,Yes,No,No,No,Yes,No,1,0,No
