Country.or.area,ISO.Code,Country.Letter.Code,Region.Code,Region,Major.area.Code,Major.area,Developed.region,Less.Developed.Regions,Least.developed.country,Less.developed.regions..excluding.least.developed.countries,Total.population.of.less.than.90.000.by.mid.2015,FP2020.country,Sexual.activity.among.unmarried,Sub.SaharanAfrica,WPP.small.country,WCU.data,Land.Locked.Developing.Countries..LLDC.,Small.Island.Developing.States..SIDS.
Libya,434,LBY,15,Northern Africa,2,Africa,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
Lithuania,440,LTU,154,Northern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Madagascar,450,MDG,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
Malawi,454,MWI,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Malaysia,458,MYS,35,South-eastern Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
Maldives,462,MDV,34,Southern Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,No,Yes
Mali,466,MLI,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,Yes,No
Malta,470,MLT,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Marshall Islands,584,MHL,57,Micronesia,9,Oceania,No,Yes,No,Yes,Yes,No,1,No,Yes,Yes,No,Yes
Martinique,474,MTQ,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Mauritania,478,MRT,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,0,Yes,No,Yes,No,No
Mauritius,480,MUS,14,Eastern Africa,2,Africa,No,Yes,No,Yes,No,No,1,Yes,No,Yes,No,Yes
Mexico,484,MEX,13,Central America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,No,1,No,No,Yes,No,No
Mongolia,496,MNG,30,Eastern Asia,142,Asia,No,Yes,No,Yes,No,Yes,1,No,No,Yes,Yes,No
Montenegro,499,MNE,39,Southern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Montserrat,500,MSR,29,Caribbean,419,Latin America and the Caribbean,No,Yes,No,Yes,Yes,No,1,No,Yes,Yes,No,Yes
Morocco,504,MAR,15,Northern Africa,2,Africa,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
Mozambique,508,MOZ,14,Eastern Africa,2,Africa,No,Yes,Yes,No,No,Yes,1,Yes,No,Yes,No,No
Myanmar,104,MMR,35,South-eastern Asia,142,Asia,No,Yes,Yes,No,No,Yes,0,No,No,Yes,No,No
Namibia,516,NAM,18,Southern Africa,2,Africa,No,Yes,No,Yes,No,No,1,Yes,No,Yes,No,No
Nauru,520,NRU,57,Micronesia,9,Oceania,No,Yes,No,Yes,Yes,No,1,No,Yes,Yes,No,Yes
Nepal,524,NPL,34,Southern Asia,142,Asia,No,Yes,Yes,No,No,Yes,0,No,No,Yes,Yes,No
Netherlands,528,NLD,155,Western Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
New Zealand,554,NZL,53,Australia and New Zealand,9,Oceania,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Nicaragua,558,NIC,13,Central America,419,Latin America and the Caribbean,No,Yes,No,Yes,No,Yes,1,No,No,Yes,No,No
Niger,562,NER,11,Western Africa,2,Africa,No,Yes,Yes,No,No,Yes,0,Yes,No,Yes,Yes,No
Nigeria,566,NGA,11,Western Africa,2,Africa,No,Yes,No,Yes,No,Yes,1,Yes,No,Yes,No,No
Norway,578,NOR,154,Northern Europe,150,Europe,Yes,No,No,No,No,No,1,No,No,Yes,No,No
Oman,512,OMN,145,Western Asia,142,Asia,No,Yes,No,Yes,No,No,0,No,No,Yes,No,No
