Country letter code,ISO code,Country,In union,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
NA,120,Cameroon,TRUE,139523,142605,145859,149387,153388,158007,162751,166033,169732,173604,177515,181078,184774,188578,192505,196572,200234,204199,208325,212470,216592,220403,224263,228235,232465,237025,241508,246358,251287,255896,259937,262978,265594,267702,269263,270280,270047,269583,268852,267871,266715,265041,264373,263781,263572,263904,264439,265467,266717,267831,268577,268720,268525,267874,266646,264775,262000,258699,254852,250450,245525,249767,253802,257713,261640,265669
NA,124,Canada,TRUE,95158,98281,99179,99593,99508,98937,98426,97722,96442,94180,90835,86821,81922,76570,71507,67226,64034,61584,59612,57769,55876,54215,52669,51232,49894,48621,47410,46244,45059,43793,42409,41119,39638,38011,36342,34696,33272,31780,30120,28209,26065,24191,23234,22197,21148,20159,19317,18586,17997,17595,17401,17482,17787,18228,18672,19043,19439,19778,20082,20413,20816,20929,21042,21138,21201,21225
NA,140,Central African Republic,TRUE,39124,40045,41076,42211,43446,44783,46278,47873,49569,51376,53300,55334,57458,59589,61648,63599,65244,66996,68928,71122,73636,76412,79382,82472,85615,88773,92092,95502,98922,102275,105521,108488,111522,114556,117525,120401,122482,124765,127215,129772,132376,133194,134529,136503,139250,142739,144844,147248,149765,152078,153919,154533,154348,153452,152020,150124,147239,144031,140371,136092,131162,131898,132466,133085,134103,135722
NA,148,Chad,TRUE,89225,91648,93434,94753,95968,97316,98217,99343,100674,102136,103718,105176,106922,109071,111808,115228,119084,123778,129059,134563,140067,145212,150510,155985,161710,167738,173649,180037,185193,190692,196537,202489,208972,215828,222921,230190,236898,243893,251134,258577,266188,273375,280838,288413,295951,303190,309222,314662,319398,323330,326397,328172,329157,329268,328451,326675,323603,319700,314907,309180,302523,309624,316846,324135,331439,338729
NA,152,Chile,TRUE,45041,45879,46477,46901,47269,47654,48005,48320,48615,48900,49165,49351,49527,49629,49553,49241,48694,47937,47041,46124,45264,44443,43694,43040,42509,42121,41929,41850,41878,42001,42195,42466,42798,43091,43206,43060,42713,42114,41320,40434,39520,38602,37783,36967,36159,35368,34662,33974,33329,32760,32285,31930,31677,31477,31253,30963,30659,30291,29891,29515,29198,29062,28964,28887,28804,28697
NA,156,China,TRUE,1933900,1948485,1919967,1870002,1836059,1841989,1885112,1962043,2064888,2177838,2289148,2404365,2517481,2597520,2654798,2681724,2674109,2638600,2577080,2494953,2397814,2276942,2149907,2025151,1916626,1835096,1791700,1765807,1762744,1787961,1840603,1912942,2015122,2119275,2183456,2183951,2125091,2008069,1854853,1701132,1569385,1456134,1360241,1281152,1218222,1167310,1130260,1108654,1099072,1096248,1096680,1101293,1108117,1117406,1130095,1146360,1165911,1187926,1210377,1230124,1245079,1241647,1231488,1215990,1197569,1177897
NA,344,"China, Hong Kong Special Administrative Region",TRUE,5776,6161,6410,6630,6808,6941,6927,6902,6829,6667,6413,6054,5604,5124,4692,4352,4207,4085,3958,3797,3604,3414,3207,2997,2803,2645,2635,2607,2534,2409,2250,2124,1985,1836,1683,1534,1397,1259,1122,980,830,684,630,577,528,482,447,412,380,357,343,346,359,381,404,427,453,477,503,535,580,601,627,655,680,699
NA,158,"China, Taiwan Province of China",TRUE,51641,53405,53673,52999,52239,51881,51802,51939,52099,52095,51887,49926,48007,46080,44095,42058,39986,37809,35694,33897,32555,31691,31142,30680,30006,28967,27600,25988,24166,22209,20197,18737,17301,15978,14884,14068,13451,13057,12819,12620,12387,12148,11881,11584,11258,10898,10495,10055,9598,9150,8732,8354,7993,7686,7482,7410,7477,7689,8016,8395,8777,8907,9006,9079,9138,9187
NA,170,Colombia,TRUE,159273,164188,168882,173530,178488,183854,189867,195838,201840,207949,214091,219296,224926,230203,233966,235649,235376,233023,229773,227544,227521,229514,233519,238939,244680,250005,254804,259456,263751,267437,270376,272684,273927,274471,274924,275619,276179,277117,278030,278254,277445,275889,273282,270175,267448,265617,264389,263635,262922,261504,258933,255395,250870,245571,239855,233958,227967,221757,215383,208889,202301,200511,198826,197186,195483,193653
NA,174,Comoros,TRUE,3178,3303,3420,3534,3654,3784,3922,4073,4229,4382,4526,4586,4633,4676,4721,4772,4817,4872,4937,5009,5089,5171,5260,5358,5467,5587,5711,5843,5974,6096,6200,6279,6344,6394,6426,6442,6434,6412,6379,6344,6310,6271,6234,6225,6215,6205,6189,6176,6163,6150,6137,6124,6108,6090,6069,6044,6012,5977,5934,5876,5801,5887,5961,6027,6088,6149
NA,178,Congo,TRUE,11417,11798,12203,12628,13071,13531,13978,14459,14971,15510,16075,16632,17219,17833,18472,19191,19925,20688,21479,22297,23140,24005,24888,25766,26611,27408,28228,28988,29691,30354,31001,31690,32379,33077,33801,34579,35479,36414,37368,38343,39355,40405,41604,42900,44255,45644,46976,48299,49616,50941,52265,53550,54763,55850,56743,57390,57727,57845,57708,57276,56542,57347,57991,58553,59160,59895
NA,184,Cook Islands,TRUE,94,99,103,108,111,112,107,101,96,93,93,95,96,97,97,95,91,86,81,77,73,68,63,59,55,51,48,45,44,43,43,45,47,49,51,52,52,51,50,48,46,44,43,41,39,37,35,33,31,29,27,26,25,24,24,24,23,23,24,24,24,24,25,25,25,25
NA,188,Costa Rica,TRUE,13508,14098,14839,15681,16378,17010,17622,18155,18599,18944,19182,19270,19283,19205,19018,18730,18374,17928,17482,17164,17050,17176,17483,17914,18376,18807,19267,19697,20079,20397,20634,20794,20881,20895,20834,20704,20542,20300,19998,19666,19319,18945,18579,18196,17759,17309,16824,16272,15706,15199,14793,14485,14274,14117,13952,13738,13502,13227,12928,12630,12346,12278,12217,12157,12087,12001
NA,384,Cote d'Ivoire,TRUE,123118,130110,137065,143896,150692,157542,165567,173877,182275,187645,192754,198687,204725,210704,216588,222412,229031,235723,242480,249407,256506,264523,272710,280409,286800,291402,294824,297023,298112,298245,297446,293996,290667,287855,285739,284247,282373,280878,279925,279511,279370,278981,278661,278035,276549,276192,274396,271873,268858,265624,262279,258578,254798,251087,247577,244259,240906,237759,234696,231505,228025,233464,238915,244392,249892,255366
NA,191,Croatia,TRUE,9823,9727,9590,9435,9292,9176,9069,8986,8907,8809,8682,8549,8384,8215,8088,8029,8031,8102,8208,8294,8324,8225,7858,7502,7181,6899,6608,6315,6028,5745,5465,5191,4922,4647,4354,4039,3706,3362,3035,2752,2517,2315,2222,2151,2075,1980,1867,1742,1621,1527,1470,1443,1448,1473,1499,1516,1524,1524,1519,1516,1520,1493,1467,1441,1415,1390
NA,192,Cuba,TRUE,113887,113866,111477,108524,107829,110893,116671,126118,137273,146840,152794,156135,155682,152790,149686,147568,145393,144171,142885,139920,134478,126787,117122,106760,97699,91186,87007,85031,84895,85840,87286,89070,91520,93977,95495,95518,94511,91728,87759,83739,80434,78241,76794,75744,74451,72613,70378,67872,65190,62476,59831,57469,55108,52883,50971,49436,48345,47598,46962,46110,44867,44986,44795,44387,43934,43537
NA,203,Czechia,TRUE,38708,37654,36346,34944,33672,32668,31897,31482,31298,31141,30903,29735,28538,27460,26707,26363,26406,26669,27003,27213,27168,26802,26277,25496,24347,22815,20977,18862,16690,14734,13122,11822,10749,9821,8928,8016,7146,6268,5361,4418,3464,2538,2214,1928,1700,1538,1436,1378,1354,1351,1362,1390,1433,1485,1534,1575,1612,1640,1663,1693,1740,1729,1722,1715,1706,1692
NA,408,Democratic People's Republic of Korea,TRUE,13850,14781,17016,19782,21911,22774,22680,21513,19865,18602,18163,18434,19207,20174,20897,21132,20819,20268,19444,18321,16936,15395,13610,11829,10355,9315,8627,8271,8073,7819,7409,6899,6291,5635,4992,4381,3782,3186,2576,2456,2340,2233,2130,2037,1959,1900,1858,1832,1819,1813,1811,1815,1823,1839,1870,1922,1998,2098,2225,2380,2564,2568,2575,2584,2592,2599
NA,180,Democratic Republic of the Congo,TRUE,310954,317862,326408,336247,346837,357893,368484,379972,392023,404322,416743,427579,438847,450562,462799,470548,477261,484844,493481,503426,514784,527152,541320,556070,570141,582952,591808,599729,607379,615505,624616,633392,643564,654766,666648,679000,690057,702221,715040,728005,740917,752459,764368,776887,791719,807278,822141,837740,853571,869021,883664,896550,908436,918977,927829,934705,938535,940488,940141,936999,930842,955786,980059,1003864,1027602,1051554
NA,208,Denmark,TRUE,10072,9861,9717,9629,9580,9560,9598,9680,9770,9825,9821,9774,9671,9525,9360,9191,9032,8862,8676,8463,8220,7973,7704,7411,7103,6793,6519,6243,5980,5760,5606,5556,5562,5607,5669,5743,5891,6032,6137,6181,6164,6198,6200,6147,6052,5938,5839,5738,5645,5573,5527,5530,5572,5626,5651,5622,5576,5479,5357,5258,5212,5199,5233,5300,5374,5438
NA,262,Djibouti,TRUE,560,588,623,669,728,800,916,1052,1198,1337,1457,1516,1556,1589,1634,1700,1808,1933,2064,2192,2311,2383,2375,2358,2326,2280,2242,2184,2120,2069,2041,2018,2016,2018,1998,1946,1865,1761,1644,1528,1420,1319,1219,1171,1128,1087,1051,1019,990,964,939,916,895,876,863,855,853,858,868,880,895,899,901,903,905,906
NA,212,Dominica,TRUE,91,91,93,96,98,100,101,102,104,108,114,114,114,113,110,106,103,97,90,85,82,83,86,90,92,91,84,79,78,80,84,86,85,82,80,79,79,80,82,84,85,84,83,81,79,76,73,70,67,65,63,62,62,63,65,67,68,71,73,76,78,79,80,80,80,80
NA,214,Dominican Republic,TRUE,53704,56039,58348,60621,62850,65023,66912,68728,70470,72122,73675,74920,76058,77146,78238,79360,80139,80986,81903,82840,83765,84422,85023,85676,86508,87571,88538,89731,91065,92362,93505,94396,95047,95578,96166,96888,97437,98149,98906,99497,99799,99708,99316,98820,98431,98216,97952,97835,97750,97480,96881,95842,94500,92915,91167,89292,87150,84874,82474,79938,77257,76975,76628,76251,75874,75512
