"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,72,"Botswana",10502.8738,10661.715,10902.4475,11252.2165,11623.367,11974.8125,12309.344,12611.3825,12897.5357,13206.3258,13558.9182,13946.4634,14324.1329,14509.5743,14762.0129,15568.9634,16495.6189,17499.5365,18599.4771,19785.602,20587.4544,21414.1872,22312.8815,23595.9578,24874.859,26127.3136,27315.9717,28404.6064,29364.213,30291.6302,31176.7989,32029.1537,32811.9579,33335.6709,33781.7957,34162.3706,34530.967,34933.3678,35515.3541,36375.4469,37610.894,39236.802,41282.4249,43557.2842,46010.7144,48504.1319,50998.6424,53441.881,55704.0081,57595.8879,59229.4191,60638.3102,61675.4531,62671.0289,63512.3357,64153.6536,64636.1784,64997.0978,65553.3302,66297.389,67170.3861
"",TRUE,76,"Brazil",2153035.6168,2188562.3016,2225851.7878,2265556.5233,2312760.7548,2367631.7054,2425909.2297,2485611.4449,2547150.8262,2605465.6644,2664627.786,2727777.8793,2804380.4771,2899363.6569,3020148.9116,3176079.026,3339738.3555,3498465.0512,3649048.354,3788363.3875,3906540.0877,4032023.2296,4161164.5216,4297958.6809,4439511.572,4582996.3967,4726072.9429,4869390.3052,5007291.3994,5137344.3573,5251439.0313,5314032.607,5353617.1483,5371545.9967,5370399.6305,5369551.8183,5378814.0309,5399039.3282,5434845.9876,5487300.3435,5537974.1458,5596631.4961,5665439.8983,5742758.7892,5825947.2314,5921900.7567,6015875.1341,6105296.9853,6180148.1166,6235505.0797,6261990.3434,6262709.6447,6234029.5735,6191764.4336,6135807.315,6074681.6141,6007630.775,5944536.9018,5875381.3953,5828301.0604,5793662.5569
"",TRUE,84,"Belize",2296.2258,2259.9062,2230.6038,2196.3025,2167.2675,2148.5541,2143.4666,2134.15,2112.2144,2089.5277,2061.9078,2056.9682,2094.514,2170.863,2292.3119,2455.9953,2645.072,2842.8885,3035.4364,3198.2494,3351.9332,3489.2499,3622.4785,3725.0052,3867.9289,4044.4694,4293.538,4599.3262,4916.7668,5215.5968,5522.8547,5804.981,6020.834,6232.9081,6438.8572,6659.9093,6942.2695,7276.2776,7608.532,7903.8937,8145.3592,8337.0477,8520.3823,8714.0326,8930.3586,9166.9377,9428.1805,9724.6296,10053.8747,10413.529,10773.5399,11083.2681,11376.7103,11668.5384,11966.4676,12269.7688,12581.5396,12900.2857,13196.2962,13468.1586,13726.645
"",TRUE,90,"Solomon Islands",3517.9488,3597.6684,3614.8124,3642.2428,3681.674,3739.9636,3815.3972,3941.1002,4067.0493,4208.721,4360.1373,4537.6961,4725.952,4919.7567,5118.2617,5316.29,5493.924,5684.9039,5866.7112,6028.0271,6170.528,6317.652,6471.1543,6688.6006,6968.4352,7268.033,7626.8052,8020.4148,8400.7685,8777.4733,9177.734,9586.6776,9999.9288,10434.2294,10884.3504,11390.041,11964.7104,12514.8477,13023.5639,13502.2494,13934.8533,14286.6241,14679.0332,15119.3119,15591.5755,16081.659,16602.0028,17110.4286,17602.1749,18071.5791,18522.8123,18985.0125,19431.974,19820.5995,20184.4945,20517.1402,20816.4738,21092.9012,21380.5865,21701.0365,22073.7096
"",TRUE,92,"British Virgin Islands",137.9007,140.8422,135.2764,134.3538,143.287,152.8367,159.9967,172.9807,188.7141,199.8148,216.5508,232.3032,250.6688,275.1394,296.3993,314.5114,330.9289,350.5133,360.8605,383.2396,408.6021,432.8553,458.3073,490.6419,514.06,541.7477,562.7163,577.7816,588.9961,606.5274,610.2717,614.7967,617.6319,627.4306,632.4759,657.2366,682.067,707.6111,738.1268,779.6355,803.8833,788.2168,801.7142,813.761,828.5693,858.1353,889.9266,904.1903,908.6921,901.5778,887.5879,884.2014,871.4551,846.1703,823.4752,810.1353,783.9798,774.0102,767.9542,765.2307,767.1529
"",TRUE,96,"Brunei Darussalam",2780.2608,2906.2302,2981.4634,3012.6551,3044.4667,3096.291,3165.2922,3246.0409,3320.9512,3386.5936,3434.3794,3502.5243,3645.1097,3875.1258,4206.2343,4604.9813,5022.1964,5454.2744,5910.3228,6383.3327,6904.9672,7457.9743,7972.8576,8384.397,8757.3215,9087.0567,9374.8474,9599.0076,9759.3695,9867.1557,9929.3895,10005.4588,10126.1679,10317.6518,10572.9798,10899.6696,11254.1363,11613.0991,11962.2308,12297.633,12613.8673,12928.3875,12997.7572,13074.6022,13183.9308,13320.8862,13464.3293,13617.3842,13741.3161,13832.5027,13891.9676,13946.8995,13992.7542,14038.0637,14021.5639,13925.977,13732.5648,13460.0291,13145.9809,12873.4809,12659.8169
"",TRUE,100,"Bulgaria",287733.3492,287220.3972,283731.4392,277104.63,267838.7712,257952.948,250454.1204,245998.5132,244584.3576,246330.1632,251135.1084,259658.9556,270675.9264,280905.7812,290870.316,298274.5128,297050.7963,290102.4587,283733.904,277328.5314,269929.5113,266358.0781,265119.7547,262094.4268,257638.4587,253609.8813,250401.8598,246709.9553,242534.5459,239070.1551,236344.1355,229512.133,220772.4575,213590.036,213213.9897,213023.3589,213693.4523,214475.4587,213194.2763,208736.8962,207783.8774,207133.3205,208209.304,210678.2117,207108.6103,200241.2149,193123.4595,185430.9447,178720.051,173956.4185,169044.4799,166362.4615,165485.3422,164110.3848,163190.4517,161465.4655,158916.6441,152432.2014,145492.5388,136966.0376,128024.3556
"",TRUE,104,"Myanmar",665683.2666,670120.7634,673177.2894,675878.7816,673756.5504,671073.9333,668653.1165,666165.9814,665624.6357,667813.1591,673856.1343,684028.8478,696966.1067,710616.1906,733508.5284,774094.226,815588.9044,858418.8887,903924.8658,947330.5015,975972.0828,1004292.5989,1030950.4889,1056599.4576,1080585.364,1103463.792,1125291.4135,1147171.8351,1169711.987,1193221.9365,1217223.9263,1242006.9904,1265585.2215,1287479.5381,1307470.3832,1324660.139,1338957.7989,1352255.1773,1363975.5647,1370966.1987,1380888.6136,1391274.9575,1403204.741,1416209.8216,1429990.444,1446199.1266,1461354.4958,1475123.0011,1491180.3484,1510445.4656,1529268.6426,1543829.0551,1552050.7078,1550566.8828,1539627.0798,1530110.0188,1526596.4679,1529251.7294,1537193.7479,1549381.1704,1556121.0706
"",TRUE,108,"Burundi",69462.1045,70967.3671,72591.1671,68871.8532,70478.6033,72782.7755,74038.7848,75533.4927,77587.5997,79989.1999,80868.8384,88708.915,89391.987,91791.6724,92997.5625,93306.1237,96871.9282,100616.824,105567.0483,109162.2247,114110.3053,114645.4703,115168.2344,118413.9236,94232.6776,113446.3297,111775.4787,104645.8269,102741.9309,104366.2943,104403.6001,105247.028,108386.5123,111101.1643,116697.2994,124022.229,130410.844,137894.167,146272.7745,155747.7593,170476.782,181018.397,191236.808,204147.475,219566.305,236108.019,243715.808,259003.857,274050.3998,293080.0925,307674.3302,319997.2164,326449.1439,332706.4942,337561.7808,341782.1873,345024.7294,348061.5773,350681.8842,354742.2743,343232.5272
"",TRUE,112,"Belarus",318729.201,313527.9,314087.987,318997.594,325964.593,329902.462,325842.91,311152.924,286217.402,255571.409,227821.7659,208199.0602,201944.0943,212642.2678,235260.7686,261344.8749,283535.4391,299095.4786,308486.5805,314649.4266,321617.3581,332713.076,343251.4191,353917.744,362174.0371,367401.7704,370978.3442,373458.27,371135.3786,364693.6308,352319.3492,336397.5617,319083.2103,303558.3501,291472.1388,287005.4623,285414.7799,285621.0981,285305.6035,284874.0778,283350.8098,281069.2134,280109.8118,282397.2057,286717.3445,290006.7138,294457.5006,298614.8623,306193.9355,312520.7135,317959.6557,323227.879,329538.9718,328884.4974,324242.8084,317460.7451,306305.73,290076.9109,273722.8287,255975.5627,237498.3724
