"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"30-34",1707,NA,NA,NA,NA,21.4046822742475,13.0434782608696,8.36120401337793,39.4648829431438,NA,NA,NA,"MW","0",NA,NA,0,174,"Comoros",1996,1996,1996.16393442623,1996.41256830601,"1996 DHS","DHS",0,"km32",0.186380477845838,0.211132042631311,0.138793877151837,0.0209806476595462,0.0160539345233698,0.0317023523276973,1
"30-34",5459,NA,NA,NA,NA,20.105503569853,14.4669913947786,5.63851217507446,34.5866829734449,NA,NA,NA,"MW","0",NA,NA,0,174,"Comoros",2012,2012,2012.58196721311,2012.99726775956,"2012 DHS","DHS",0,"km61",0.140370112308977,0.199542122273432,0.107328597682359,0.011100859760585,0.00737443650567809,0.0149377048500077,1
"30-34",5459,NA,NA,NA,NA,3.01956435929091,2.2749302478383,0.74463411145261,2.94415863298547,NA,NA,NA,"UW","0",NA,NA,0,174,"Comoros",2012,2012,2012.58196721311,2012.99726775956,"2012 DHS","DHS",0,"km61",0.690981694528421,0.614874867198692,0.566656184404818,0.00955974780866451,0.00328900652869423,0.00516117199593359,0
"30-34",1709,NA,NA,NA,NA,44.9426834584837,13.7974188470698,31.145264611414,19.1485809839753,NA,NA,NA,"MW","0",NA,NA,0,178,"Congo",2005,2005,2005.49589041096,2005.91232876712,"2005 DHS","DHS",0,"cg50",0.153549193532953,0.107142725321469,0.135739457776233,0.0175533126575384,0.0222784678810291,0.0184406413812131,1
"30-34",5642,NA,NA,NA,NA,33.08045385,20.3288679,12.75158595,13.7511261435232,NA,NA,NA,"MW","0",NA,NA,0,178,"Congo",2014,2015,2014.83287671233,2015.15890410959,"2014-2015 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5642,NA,NA,NA,NA,35.84222225,26.38664126,9.45558099,10.7668359644084,NA,NA,NA,"UW","0",NA,NA,0,178,"Congo",2014,2015,2014.83287671233,2015.15890410959,"2014-2015 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,0
"30-34",1888,NA,NA,NA,NA,21.1978401706908,4.95189372461354,16.2459464460772,28.5361763621698,NA,NA,NA,"MW","0",NA,NA,0,180,"Dem. Rep. of the Congo",2007,2007,2007,2007.66301369863,"2007 DHS","DHS",0,"cd51",0.183187159293637,0.126977049339146,0.103042819746119,0.00845275125779433,0.0170089505768352,0.0200564012582683,1
"30-34",7798,NA,NA,NA,NA,30.5833498704455,18.5112177123171,12.0721321581285,29.4397648566886,NA,NA,NA,"MW","0",NA,NA,0,180,"Dem. Rep. of the Congo",2017,2018,2017.92328767123,2018.49589041096,"2017-2018 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",7798,NA,NA,NA,NA,37.9244679616278,28.1490362281445,9.77543173348328,18.5313293660839,NA,NA,NA,"UW","0",NA,NA,0,180,"Dem. Rep. of the Congo",2017,2018,2017.92328767123,2018.49589041096,"2017-2018 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,0
"30-34",4993,NA,NA,NA,NA,77.31393747,76.55632338,0.757614091,9.1,NA,NA,NA,"MW","0",NA,NA,1,188,"Costa Rica",2011,2011,2011.73424657534,2011.90410958904,"2011 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
