"Country letter code","In union","ISO code","Country","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"",TRUE,72,"Botswana",9026.397,9480.1914,9997.3671,10720.2652,11554.255,12137.8452,12733.856,13375.6043,14061.8897,14747.493,15423.5971,16056.956,16592.0765,17041.2284,17511.1564,18017.7166,18571.1353,19138.4088,19709.5906,20240.2539,20722.8595,21165.6957,21593.6518,21906.1233,22306.7392,22839.6694,23503.2668,24301.0977,25144.7743,25968.1568,26725.7461,27403.8903,28699.1608,30018.8607,31193.3925,32246.1172,33190.4664,34030.1046,34770.0814,35438.062,35983.0156,36410.796,36685.3418,36988.5822,37357.847,37778.8043,38080.3088,38256.9362,38286.9208,38315.3486,38400.9411,38760.6022,39371.385,40114.1821,40812.0232,41530.5564,42318.8203,43199.5802,44163.3815,45137.8396,46019.6004
"",TRUE,76,"Brazil",1924602.5238,2021942.951,2115894.1958,2205114.8238,2287301.5358,2356957.746,2431513.95,2508771.944,2591614.3848,2677298.9202,2763873.498,2850659.845,2936210.0058,3018051.9868,3095617.4328,3163731.06,3219416.525,3261190.2798,3290518.1322,3309651.906,3329302.6448,3356713.395,3389282.6814,3432618.4048,3487144.386,3541766.3504,3600467.207,3666330.3912,3738507.0794,3815426.699,3901676.1264,3952619.7144,3998624.0732,4035170.3018,4057123.5819,4063021.7154,4049648.1576,4017871.0797,3974734.5256,3918164.4906,3856620.144,3791572.1659,3727931.884,3659188.6382,3602193.8689,3550710.3656,3511361.7181,3478332.6606,3453095.1378,3423310.3893,3384868.5215,3331333.2841,3269541.796,3193248.7565,3103998.8722,3024778.1346,2952854.5672,2881278.5134,2814370.7377,2754966.8863,2693946.2636
"",TRUE,84,"Belize",2869.2512,3015.1681,3141.9167,3253.8856,3347.982,3423.2008,3531.4692,3647.1267,3782.3733,3917.3324,4066.1105,4280.0889,4518.518,4731.0715,4896.9776,5019.036,5088.9063,5108.3013,5094.086,5062.0513,5017.9713,5033.8952,5067.2427,5188.8564,5313.1932,5468.3089,5634.0167,5787.916,5962.2145,6131.2791,6260.9016,6440.4112,6652.0802,6903.6528,7195.6922,7501.0176,7793.6141,8061.8237,8321.9173,8594.5264,8891.98,9215.7666,9548.0746,9866.6322,10167.6611,10460.3808,10712.795,10911.9984,11089.4452,11264.9364,11430.1712,11522.3594,11603.4039,11627.1145,11585.4242,11490.7189,11361.1598,11201.4115,11014.2855,10802.6615,10566.6348
"",TRUE,90,"Solomon Islands",4408.992,4482.216,4606.632,4723.92,4833.432,4928.04,5023.944,5116.1901,5266.9145,5472.9498,5700.4781,5973.4736,6273.6749,6568.5112,6863.6903,7193.7471,7528.2381,7861.475,8190.3357,8516.079,8870.2033,9267.1492,9637.1491,9976.1816,10286.3737,10552.8418,10746.4144,10954.5777,11183.7558,11428.3194,11671.9951,11957.5028,12231.73,12494.1856,12742.0394,12974.8438,13198.5689,13414.454,13602.9038,13779.1839,13948.5772,14105.4252,14257.8258,14428.5061,14627.4103,14867.704,15147.1812,15429.4543,15697.4848,15961.0135,16224.0611,16458.9173,16694.7264,16879.5671,17046.4003,17176.2391,17309.2655,17484.9363,17671.3667,17864.4071,18068.2312
"",TRUE,92,"British Virgin Islands",165.4545,165.901,171.3791,173.056,177.7958,182.1276,185.2614,189.9526,196.4309,193.5455,191.612,192.9681,196.9855,198.4969,207.5133,212.2332,217.7429,218.71,218.0194,209.8756,203.0657,193.9538,186.3426,175.6657,167.2095,154.6281,144.9188,139.1035,137.2878,136.4088,136.7947,136.6727,141.805,151.6966,158.124,161.8349,165.7309,167.135,164.5224,160.3567,156.3128,146.9494,148.7071,146.3782,146.1361,147.9414,151.7701,154.9999,158.572,161.2726,164.1888,168.7156,168.3955,169.38,169.9701,170.313,171.0335,174.544,180.6107,189.9925,193.0062
"",TRUE,96,"Brunei Darussalam",2730.4128,2992.0224,3200.5798,3392.2303,3582.1267,3779.3598,3977.656,4169.0778,4351.1054,4518.456,4660.9254,4767.1179,4822.2874,4843.2898,4841.0535,4827.6042,4829.289,4857.4305,4912.873,4968.1159,4997.6402,4963.7845,4830.848,4660.866,4518.562,4422.5648,4375.9739,4371.6902,4408.6941,4468.6474,4536.5882,4613.2428,4690.4974,4765.0443,4819.0626,4837.7237,4818.6993,4754.0741,4653.4079,4515.0801,4343.9841,4139.0556,3917.8624,3701.6546,3511.3556,3348.724,3222.3541,3119.5185,3021.1284,2929.2439,2869.1093,2820.1462,2776.5223,2761.2888,2746.8307,2706.1921,2659.4948,2623.2402,2585.2058,2560.52,2561.5666
"",TRUE,100,"Bulgaria",243200.496,242683.8447,238523.4063,234451.4589,230116.7613,225310.3386,223577.9571,222737.9733,220489.6212,217204.563,214344.9423,212095.9095,209595.6984,206989.2981,205183.401,204098.3652,195533.7872,186734.6277,179172.2461,175930.9446,172551.9076,169264.353,165820.1492,161269.5858,155060.9072,150813.8309,146740.6428,143435.5875,140495.7687,134949.3364,127712.5883,120283.6276,113839.6336,107746.4097,102253.1688,96872.6466,92441.8423,88969.6964,85136.6472,81553.4606,77748.4703,73540.1927,68121.5398,62793.3584,57159.6451,51644.8857,46156.5909,42138.5399,37958.4769,34828.5105,33497.6773,33069.2932,32088.8583,32275.2733,32280.3943,31577.5777,30949.9458,31075.2963,31281.1349,31647.0678,32222.3747
"",TRUE,104,"Myanmar",638383.641,674474.808,711308.346,750679.587,779628.6242,796824.3512,814002.149,830314.3784,847251.5942,862762.5857,876563.5944,890038.6922,902058.3486,912931.3603,930068.2455,947754.7947,966261.5099,983686.2793,1000060.3364,1015208.7785,1027848.4701,1037859.7856,1045369.4601,1051619.0094,1057286.4857,1062452.2643,1066901.2461,1072110.7558,1077857.6099,1083742.2502,1090164.2756,1094475.0036,1096681.2022,1099377.3325,1103054.1797,1105401.1754,1102813.3354,1095027.0113,1080410.2714,1057898.0024,1039047.0897,1025905.8567,1018268.6465,1014664.4189,1013445.647,1007818.0945,998763.0978,988665.5098,975846.0458,961173.6941,947177.1201,936141.8111,929160.2525,926055.6821,921084.4449,913332.3767,902419.3193,886755.6304,867866.6218,849439.5909,833805.3588
"",TRUE,108,"Burundi",99152.754,104324.3146,109293.8558,105231.7014,110702.55,118224.2016,119558.754,121661.2522,124971.1054,128734.652,128826.5103,141731.2435,140231.0395,142880.1477,142874.7836,143677.1147,142844.3431,143056.366,145807.0612,147194.072,149718.5485,152069.2733,154985.1981,162723.9236,121905.9422,160923.7324,161751.5976,154010.2569,156394.4649,167784.2861,176980.1753,185456.1898,200051.5868,211799.4417,226260.0576,239290.0489,249541.445,255328.8718,261157.4781,269589.7222,283782.654,278628.736,271232.77,265642.104,259266.082,242090.956,223173.732,211351.01,200286.1972,195288.4039,198593.7659,195178.2927,193487.8261,196472.7422,201028.9564,206158.7098,212148.9611,218590.2985,224721.6555,230860.2945,237026.9189
"",TRUE,112,"Belarus",181667.178,194469.66,204620.526,211785.948,217046.412,222873.552,231229.35,239314.284,246858.084,252520.686,255416.525,256934.2949,258542.906,258189.964,255586.6781,249304.0569,240397.052,229908.7201,220107.5677,212310.0075,208775.5453,207634.2508,208038.8941,208641.9733,208961.5331,208960.4199,208242.3903,207955.5128,208854.1797,211317.6062,212713.9423,214614.0986,215858.0917,218357.5206,220555.6232,222218.221,223214.5707,225528.4779,223232.5794,219513.097,214322.2017,206617.3006,195597.8756,184660.1449,172529.7555,160386.1961,149058.4614,139018.64,130061.5663,124364.1486,121019.7589,120952.4856,121174.1039,121477.1562,120935.0198,120911.8085,119952.9607,120506.5205,122880.9526,125521.9156,128689.5782
"",TRUE,116,"Cambodia",190548.3871,186307.693,190522.6423,198401.015,205948.7182,212122.4793,215695.9662,210977.1477,215142.0919,218541.8469,234105.7804,231103.3415,239767.8107,243952.2775,249332.1417,250454.7301,254200.4598,259567.2063,264737.6564,267201.3387,271521.2991,277494.8562,282662.3398,297523.9408,303038.6288,292995.2519,274777.7237,254364.1279,226132.8214,219514.236,226061.0918,254866.8989,289723.7128,336259.0823,379178.0308,412242.4779,429729.1372,445920.1737,458812.5577,466689.7239,467765.7093,468905.5433,469788.3943,468835.1541,466974.205,463984.7152,455089.7621,440510.1301,419254.4362,405298.26,392618.2663,386010.5456,386066.8674,393404.975,393065.2446,393335.5214,394804.8321,395866.5506,397115.3231,397464.0897,396512.544
"",TRUE,120,"Cameroon",202755.8592,204575.272,206802.966,209903.1088,215143.235,223116.3614,230174.348,235458.975,241418.6633,249449.4895,257099.9329,271507.5195,282790.1341,281638.3115,288933.8949,299127.91,309626.8586,320464.7824,331606.9434,342021.2488,353036.1856,364617.8143,375993.1683,387275.3299,398849.0016,410161.134,421438.9113,433167.3555,445852.6797,459363.324,473962.0823,489354.7743,506520.0486,525321.5671,541841.888,549393.1603,556012.0415,561825.4454,567595.2394,573929.7123,579377.7008,583497.0201,585435.5985,586147.6416,585929.8535,590476.8353,590068.308,586390.1137,579423.8748,574287.6191,571100.8454,569246.1352,568635.0411,570550.1135,573859.0193,577384.8171,581567.5158,586516.3086,590913.2351,594443.6481,597575.1082
"",TRUE,124,"Canada",611737.7024,653595.1596,663082.9932,658125.3432,663280.8489,674662.6181,684342.0685,687421.008,685571.6545,681043.8764,677294.514,675562.751,668660.4491,655169.8435,639908.6283,621489.5428,596125.8463,563488.6363,526954.4581,493937.7961,466399.991,442430.0934,423572.4874,406502.3062,389322.2132,373297.3622,358619.4002,345416.3935,333146.5494,322516.9953,313644.2256,305822.1182,298070.7085,289493.1466,280319.3337,269845.7721,257990.8654,254398.2027,250411.6986,247017.3581,245341.6419,243842.0598,241097.2523,237129.2397,231576.7945,223699.9784,215814.6,211088.5041,208648.4212,207595.2798,206138.8479,203214.7186,198810.6551,194909.0696,190908.0719,186652.65,183360.1741,183366.3159,185656.0896,188734.4181,192177.7838
"",TRUE,132,"Cabo Verde",3334.7072,3550.1552,3707.5392,3831.0016,3949.5744,4065.7024,4143.936,4236.5328,4348.9936,4473.6784,4584.6112,4717.8083,4820.1379,4930.411,5038.8484,5144.228,5218.4361,5243.4445,5231.7831,5185.2866,5129.6237,5120.7139,5171.6951,5264.5373,5386.406,5540.0503,5725.7749,5944.4955,6202.3221,6505.6701,6838.0389,7057.6574,7243.3571,7386.5842,7492.5338,7582.5939,7679.6617,7796.5315,7917.5887,8046.77,8192.274,8392.7847,8589.938,8791.0043,8969.7374,9105.147,9154.1413,9087.7825,8926.4502,8727.7435,8522.7039,8328.3222,8144.9147,7983.0204,7834.4585,7697.0982,7623.9788,7631.2507,7664.992,7686.5807,7678.8172
"",TRUE,136,"Cayman Islands",112.5366,124.6168,142.7371,163.7185,186.6073,204.4097,217.1257,229.8417,238.1071,246.3725,256.1637,278.1693,297.7925,320.3783,339.6568,351.9416,357.9337,360.4793,358.0868,350.8168,352.7164,383.6581,421.8693,457.0459,482.0449,492.8221,487.7755,464.4477,428.6589,391.1101,365.5278,379.333,411.2102,450.2763,486.9801,514.2178,531.8263,531.1669,511.9181,483.2944,455.7438,433.2681,453.386,487.217,523.6443,550.0753,568.2651,574.4958,568.0633,551.7733,524.8794,492.287,461.0033,435.0297,415.9332,402.0665,393.4029,385.911,384.93,385.3725,398.7294
"",TRUE,140,"Central African Republic",65724.8778,67901.1622,69841.7732,71765.2726,73906.556,75128.4798,76131.5121,77750.1215,79391.4348,81069.1461,82745.263,84435.1082,86101.7557,87746.0677,89319.2911,90878.9487,92355.9223,93821.9781,95198.4407,96738.8006,98333.4569,99796.3007,101116.8807,102394.1417,103311.594,104286.5494,104150.7504,105472.5313,107598.4443,110884.3835,115281.0271,120785.9441,124587.3511,130340.6815,134429.9939,138652.4402,143168.8369,145742.1509,149491.4585,153390.0865,157120.0159,159871.1584,159574.0745,157374.1224,155706.5066,150444.1392,154492.926,159921.1671,165467.5064,171890.2177,179726.888,188139.1259,191526.6899,199171.8717,206699.4514,213211.9382,219039.4906,224700.5446,229957.4096,234391.742,238563.5342
