"aggregate_type","agg_source_1","groupname_1","agg_source_2","groupname_2","criterion","codes","names","TotPop2024LessThan90k"
"subregions","WPP 2024","[subregions] Australia/New Zealand","Country classifications file","[subregions] Australia and New Zealand","Not in WPP 2024",334,"Heard Island and McDonald Islands",TRUE
"subregions","WPP 2024","[subregions] Australia/New Zealand","Country classifications file","[subregions] Australia and New Zealand","Not in WPP 2024",574,"Norfolk Island",TRUE
"subregions","WPP 2024","[subregions] Eastern Africa","Country classifications file","[subregions] Eastern Africa","Not in WPP 2024",86,"British Indian Ocean Territory",TRUE
"subregions","WPP 2024","[subregions] Eastern Africa","Country classifications file","[subregions] Eastern Africa","Not in WPP 2024",260,"French Southern Territories",TRUE
"subregions","WPP 2024","[subregions] Micronesia","Country classifications file","[subregions] Micronesia","Not in WPP 2024",581,"United States Minor Outlying Islands",TRUE
"subregions","WPP 2024","[subregions] Northern Europe","Country classifications file","[subregions] Northern Europe","Not in WPP 2024",248,"Aland Islands",TRUE
"subregions","WPP 2024","[subregions] Northern Europe","Country classifications file","[subregions] Northern Europe","Not in WPP 2024",680,"Sark",TRUE
"subregions","WPP 2024","[subregions] Northern Europe","Country classifications file","[subregions] Northern Europe","Not in WPP 2024",744,"Svalbard and Jan Mayen Islands",TRUE
"subregions","WPP 2024","[subregions] Polynesia","Country classifications file","[subregions] Polynesia","Not in WPP 2024",612,"Pitcairn",TRUE
"subregions","WPP 2024","[subregions] South America","Country classifications file","[subregions] South America","Not in WPP 2024",74,"Bouvet Island",TRUE
"subregions","WPP 2024","[subregions] South America","Country classifications file","[subregions] South America","Not in WPP 2024",239,"South Georgia and the South Sandwich Islands",TRUE
"subregions","WPP 2024","[subregions] Australia/New Zealand","Legacy special aggregates","[SDG_regions_level_2] Australia and New Zealand","Not in WPP 2024",162,"Christmas Island",TRUE
"subregions","WPP 2024","[subregions] Australia/New Zealand","Legacy special aggregates","[SDG_regions_level_2] Australia and New Zealand","Not in WPP 2024",166,"Cocos (Keeling) Islands",TRUE
"subregions","WPP 2024","[subregions] Australia/New Zealand","Legacy special aggregates","[SDG_regions_level_2] Australia and New Zealand","Not in WPP 2024",334,"Heard Island and McDonald Islands",TRUE
"subregions","WPP 2024","[subregions] Australia/New Zealand","Legacy special aggregates","[SDG_regions_level_2] Australia and New Zealand","Not in WPP 2024",574,"Norfolk Island",TRUE
"subregions","WPP 2024","[subregions] Eastern Asia","Legacy special aggregates","[SDG_regions_level_2] Eastern Asia","Not in Legacy special aggregates",158,"China, Taiwan Province of China",FALSE
"subregions","WPP 2024","[subregions] South America","Legacy special aggregates","[SDG_regions_level_2] South America","Not in WPP 2024",239,"South Georgia and the South Sandwich Islands",TRUE
"subregions","Country classifications file","[subregions] Eastern Asia","Legacy special aggregates","[SDG_regions_level_2] Eastern Asia","Not in Legacy special aggregates",158,"China, Taiwan Province of China",FALSE
"subregions","Country classifications file","[subregions] South America","Legacy special aggregates","[SDG_regions_level_2] South America","Not in Legacy special aggregates",74,"Bouvet Island",TRUE
